,G4Volume,nevts,Isotope
0,ICS,2502,208Tl
1,FIELD_RING,592,208Tl
2,EP_COPPER_PLATE,233,208Tl
3,PMT_BASE,181,208Tl
4,LIGHT_TUBE,173,208Tl
5,PMT,161,208Tl
6,VESSEL,160,208Tl
7,TP_COPPER_PLATE,154,208Tl
8,SIPM_BOARD,104,208Tl
9,OPTICAL_PAD,59,208Tl
10,SAPPHIRE_WINDOW,23,208Tl
11,PEDESTAL,15,208Tl
12,DB_PLUG,15,208Tl
13,CATHODE_RING,14,208Tl
14,SHIELDING_LEAD,11,208Tl
15,SHIELDING_STRUCT,7,208Tl
16,HDPE_TUBE,5,208Tl
17,GATE_RING,4,208Tl
18,SHIELDING_STEEL,3,208Tl
19,ANODE_RING,3,208Tl
20,FIELD_RING,294,214Bi
21,TP_COPPER_PLATE,249,214Bi
22,SIPM_BOARD,234,214Bi
23,ICS,191,214Bi
24,EP_COPPER_PLATE,179,214Bi
25,VESSEL,113,214Bi
26,PMT,76,214Bi
27,SAPPHIRE_WINDOW,44,214Bi
28,PMT_BASE,38,214Bi
29,OPTICAL_PAD,35,214Bi
30,LIGHT_TUBE,28,214Bi
31,GATE_RING,28,214Bi
32,CATHODE_RING,27,214Bi
33,HDPE_TUBE,27,214Bi
34,ANODE_RING,21,214Bi
35,SHIELDING_LEAD,17,214Bi
36,PEDESTAL,3,214Bi
37,DB_PLUG,3,214Bi
38,SHIELDING_STRUCT,2,214Bi
39,ACTIVE,6311,0nubb
