Isotope,G4Volume,nsim,nsaved
208Tl,FIELD_RING,31419800.0,5856.0
208Tl,CATHODE_RING,445147.0,74.0
208Tl,SIPM_BOARD,6485948.0,1262.0
208Tl,DB_PLUG,149000000.0,88.0
208Tl,ANODE_RING,462527.0,42.0
208Tl,PEDESTAL,636699221.0,78.0
208Tl,LIGHT_TUBE,10255740.0,2628.0
208Tl,GATE_RING,458738.0,47.0
208Tl,PMT_BASE,67520794.0,1227.0
208Tl,PMT,14391706.0,1106.0
208Tl,OPTICAL_PAD,4036429.0,414.0
208Tl,VESSEL,1113000000.0,878.0
208Tl,SHIELDING_STEEL,12000000.0,8.0
208Tl,SHIELDING_LEAD,274532482.0,47.0
208Tl,SAPPHIRE_WINDOW,3633568.0,379.0
208Tl,HDPE_TUBE,480200.0,69.0
208Tl,ICS,689992200.0,17394.0
208Tl,EP_COPPER_PLATE,114861698.0,1610.0
208Tl,SHIELDING_STRUCT,893827008.0,34.0
208Tl,TP_COPPER_PLATE,59587692.0,1152.0
214Bi,FIELD_RING,40409712.0,814.0
214Bi,CATHODE_RING,5872545.0,109.0
214Bi,SIPM_BOARD,27535002.0,533.0
214Bi,DB_PLUG,199920050.0,6.0
214Bi,ANODE_RING,6127152.0,70.0
214Bi,PEDESTAL,480000000.0,3.0
214Bi,LIGHT_TUBE,2517076.0,218.0
214Bi,GATE_RING,6096272.0,75.0
214Bi,PMT_BASE,53200000.0,106.0
214Bi,PMT,26509875.0,199.0
214Bi,OPTICAL_PAD,10165771.0,100.0
214Bi,VESSEL,4314770936.0,246.0
214Bi,SHIELDING_STEEL,110000000.0,1.0
214Bi,SHIELDING_LEAD,6300000000.0,62.0
214Bi,SAPPHIRE_WINDOW,11256512.0,104.0
214Bi,HDPE_TUBE,3938760.0,61.0
214Bi,ICS,236432040.0,501.0
214Bi,EP_COPPER_PLATE,360000000.0,505.0
214Bi,SHIELDING_STRUCT,640000000.0,3.0
214Bi,TP_COPPER_PLATE,308141400.0,611.0
